Country,Region,Subregion,Description,Key Features
North Macedonia,,Šar Mountains (Šar Planina),Alpine peaks and lakes,Ljuboten | Popova Šapka | Alpine lakes | Traditional
North Macedonia,,Mavrovo National Park,Lake and mountain wilderness,Mavrovo Lake | Bistra | Radika canyon | Protected
North Macedonia,,Pelister National Park,Molika pine forests,Baba peak (2601m) | Mountain eyes lakes | Endemic flora | Unique
North Macedonia,,Galičica National Park,Between two famous lakes,Lake Ohrid | Lake Prespa | Diverse flora | UNESCO region
Montenegro,,Durmitor National Park,Glacial lakes and Europe's deepest canyon,Black Lake | Bobotov Kuk (2523m) | Tara Canyon (1300m) | Rafting
Montenegro,,18 Glacial Lakes (Durmitor),Scattered pristine alpine lakes,Alpine environment | Pristine | Remote | Beautiful
Montenegro,,Prokletije National Park,Accursed Mountains shared region,Zla Kolata | Albanian border | Remote | Wild
Montenegro,,Lovćen National Park,Njegoš Mausoleum with panoramic views,Bay of Kotor | Serpentine roads | Cultural | Panoramic
Montenegro,,Biogradska Gora,Primeval forest with glacial lake,Biogradsko Lake | Old-growth trees | Pristine | Virgin forest
Montenegro,,Komovi Mountains,Remote massif with Via Dinarica sections,Via Dinarica | Remote | Alpine | Challenging
Netherlands,,Veluwe,Heathland national park,Posbank | Kammenroute | Hoge Veluwe | Flat | Heather
Netherlands,,Limburg Hills,Netherlands' highest point,Vaalserberg (322m) | Three-country point | Rolling | Highest
Netherlands,,Wadden Islands,Coastal dunes and beaches,Texel | Terschelling | Cycling | Birdwatching | UNESCO
Netherlands,,Utrechtse Heuvelrug,Forested ridge with estates,Estates | Accessible | Utrecht | Forests
Netherlands,,Zuid-Limburg,Rolling hills with caves,Geuldal valley | Cave systems | Wine | Southern
Norway,Western Fjords,Lysefjord,Iconic Norwegian fjord hikes,Preikestolen (Pulpit Rock) | Kjeragbolten | 604m cliff | Dramatic
Norway,Western Fjords,Sognefjord,Norway's longest and deepest fjord,Nærøyfjord UNESCO | Aurlandsdalen | 205km long | 1308m deep
Norway,Western Fjords,Geirangerfjord,UNESCO fjord with waterfalls,Seven Sisters | Dalsnibba viewpoint | Iconic | Cruise ships
Norway,Western Fjords,Hardangerfjord,Fruit orchards and glacier combination,Trolltunga (1180m cliff) | Folgefonna glacier | Fruit | Dramatic
Norway,Western Fjords,Hjørundfjord,Less touristy authentic fishing villages,Sunnmøre Alps | Authentic | Less crowded | Beautiful
Norway,Western Fjords,Nordfjord,Briksdal Glacier access,Briksdal | Loen Skylift | Mt. Skåla | Glacier
Norway,Jotunheimen National Park,Besseggen Ridge,Norway's most popular hike,Blue & green lakes | Ridge walk | Iconic | Gjende-Bessvatnet
Norway,Jotunheimen National Park,Galdhøpiggen,Northern Europe's highest peak,2469m | Glacier crossing | Guided | Summit
Norway,Jotunheimen National Park,Glittertind,Second highest with permanent snow,2452m | Snow cap | Classic | Alpine
Norway,Jotunheimen National Park,Hurrungane Peaks,Dramatic alpine spires,Store Skagastølstind | Advanced | Technical | Mountaineering
Norway,Jotunheimen National Park,Gjende-Memurubu,DNT hut network classic,Hut-to-hut | Classic | Norwegian style | Traditional
Norway,Jotunheimen National Park,Fannaråki,Ski touring in summer,Glacier approaches | Summer skiing | High altitude | Alpine
Norway,Lofoten Islands,Reinebringen,Iconic vista over Reine village,Fjord views | Steep climb | Photography | Instagram
Norway,Lofoten Islands,Kvalvika Beach,Remote Arctic beach hike,Mountain trail | Turquoise waters | Wild camping | Remote
Norway,Lofoten Islands,Ryten,Panoramic island views,Kvalvika overlook | 360° views | Accessible | Beautiful
Norway,Lofoten Islands,Munkebu Hut,Island crossing with traditional hut,Moskenesøya | Hut accommodation | Classic | Multi-day
Norway,Lofoten Islands,Nusfjord & Å,Historic fishing villages,Coastal trails | Red cabins | Traditional | Authentic
Norway,Lofoten Islands,Henningsvær,Venice of Lofoten,Football field island | Fishing village | Unique | Charming
Norway,Romsdalseggen & Trollstigen,Romsdalseggen Ridge,10km ridge with 360° views,Atlantic views | Åndalsnes | Dramatic | Panoramic
Norway,Romsdalseggen & Trollstigen,Trollstigen,Mountain pass with waterfalls,Viewing platforms | Serpentine road | Accessible | Scenic drive
Norway,Romsdalseggen & Trollstigen,Rampestreken Viewpoint,Cliff-edge platform above Åndalsnes,Cliff platform | Views | Accessible | Popular
Norway,Other Regions,Hardangervidda,Europe's largest mountain plateau,Vast tundra | Wild reindeer | Remote | Plateau
Norway,Other Regions,Rondane National Park,Norway's first national park,Rounded peaks | Multi-day loops | Wildlife | Historic
Norway,Other Regions,Vesterålen Islands,North of Lofoten with whale watching,Queen's Route | Whale watching | Less crowded | Authentic
Norway,Other Regions,Senja Island,Norway in miniature,Segla peak | Ånderdalen | Dramatic | Diverse
Norway,Other Regions,Lyngen Alps,Arctic skiing destination,Peaks from fjords | Skiing | Arctic | Remote
Norway,Other Regions,Trollheimen,Home of the Trolls wilderness,Trondheim-Ålesund | Wilderness | Remote | Traditional
Norway,Other Regions,Dovrefjell-Sunndalsfjella,Musk ox habitat,Snøhetta | Musk ox | Vast plateaus | Wildlife
Norway,Other Regions,Helgeland Coast,Seven Sisters mountains,Torghatten hole-mountain | Coastal | Unique geology | Scenic
Norway,Other Regions,North Cape Region,Arctic wilderness at northernmost point,Midnight sun | Northernmost | Arctic | Remote
Poland,,Tatra Mountains (High Tatras),Poland's Alps with dramatic peaks,Rysy (2499m) | Morskie Oko lake | Zakopane | Alpine
Poland,,Kasprowy Wierch,Cable car access to ridge walks,Slovakia border | Cable car | Accessible | Views
Poland,,Bieszczady Mountains,Remote eastern Carpathian wilderness,Poloniny meadows | Bison | Wolf habitat | Wild
Poland,,Karkonosze (Giant Mountains),Shared Czech-Polish border range,Śnieżka (1603m) | Mountain huts | Cross-border | Traditional
Poland,,Pieniny National Park,Dunajec River Gorge,Trzy Korony | Raft trips | Gorge | Scenic
Poland,,Table Mountains (Góry Stołowe),Sandstone formations with labyrinths,Szczeliniec Wielki | Labyrinth | Sandstone | Unique
Poland,,Babia Góra,Queen of Beskids,1725m | Weather extreme | Primeval forests | Challenging
Portugal,Mainland,Algarve Coast,Dramatic red sandstone cliffs,Seven Hanging Valleys | Benagil Cave | Beaches | Golden cliffs
Portugal,Mainland,Costa de Caparica,Beach walks near Lisbon,Dunes | Lisbon proximity | Surfing | Accessible
Portugal,Mainland,Serra da Estrela,Portugal's highest mountain range,Torre (1993m) | Glacial valleys | Cheese | Ski resort
Portugal,Mainland,Peneda-Gerês National Park,Only Portuguese national park,Waterfalls | Ancient villages | Wild horses | Northern
Portugal,Mainland,Rota Vicentina,Southwest Alentejo coastal trails,Fishermen's Trail | Historical Way | Coastal | Wild
Portugal,Mainland,Sintra-Cascais,Westernmost Europe with palaces,Cabo da Roca | Palace trails | Atlantic | UNESCO
Portugal,Madeira,Levada Walks,3000km irrigation channel network,Laurel forests UNESCO | Subtropical | Year-round | Unique
Portugal,Madeira,Pico Ruivo,Island's highest peak,1862m | Sunrise hikes | Dramatic ridges | Summit
Portugal,Madeira,Pico do Areeiro to Pico Ruivo,Most famous Madeira hike,Ridge traverse | Tunnels | Spectacular | Iconic
Portugal,Madeira,Vereda dos Balcões,Balconies Trail viewpoint,Valley viewpoint | Easy | Accessible | Views
Portugal,Madeira,Rabaçal Valley,25 Fontes and Risco waterfalls,Waterfalls | Laurissilva forest | Popular | Beautiful
Portugal,Madeira,Ponta de São Lourenço,Dramatic eastern peninsula,Volcanic formations | Arid landscape | Coastal | Unique
Portugal,Madeira,Caldeirão Verde,Waterfall hike through tunnels,Tunnels | Lush vegetation | Adventure | Green
Portugal,Azores,Pico Island,Portugal's highest mountain,Mount Pico (2351m) | Volcanic ascent | UNESCO | Summit
Portugal,Azores,São Miguel,Crater lakes and hot springs,Sete Cidades | Terra Nostra | Furnas | Volcanic
Portugal,Azores,Flores Island,Westernmost Europe with waterfalls,20+ waterfalls | Basalt columns | Remote | Pristine
Portugal,Azores,Faial Island,Caldeira crater rim walk,Capelinhos volcano | Whaling heritage | Mid-Atlantic | Views
Portugal,Azores,São Jorge,Fajãs coastal plains,Cliffs | Cheese production | Unique | Traditional
Portugal,Azores,Terceira,Volcanic caves and tubes,Algar do Carvão | Monte Brasil | Caves | Volcanic
Romania,,Făgăraș Mountains,Romania's highest range,Moldoveanu (2544m) | Transfăgărășan Road | Bâlea Lake | Challenging
Romania,,Multi-day Ridge Traverse (Făgăraș),7-day high-altitude route,Glacial lakes | Challenging | Wild | Multi-day
Romania,,Bucegi Mountains,Rock formations and plateau,Babele & Sphinx | Omu (2505m) | Via ferratas | Peleș Castle
Romania,,Piatra Craiului,Knife-edge limestone ridge,25km traverse | Chamois | Technical | Dramatic
Romania,,Retezat National Park,80+ glacial lakes,Lake Bucura | Retezat (2509m) | Wilderness | Bears
Romania,,Apuseni Mountains,Karst caves and traditional villages,Scărișoara Ice Cave | Traditional | Gentle | Cultural
Romania,,Rodna Mountains,Remote primeval forests,Pietrosul Rodnei (2303m) | Primeval | Remote | Wild
Romania,,Ceahlău Massif,Olympus of Romania,Toaca peak | Legends | Mythology | Spiritual
Romania,,Carpathian Wilderness,Europe's large carnivore habitat,Brown bear | Wolf | Lynx | Wildlife
Serbia,,Kopaonik National Park,Serbia's largest ski resort,Pančić's Peak (2017m) | Spa heritage | Accessible | Resort
Serbia,,Tara National Park,Primeval forests and canyon,Drina canyon | Viewpoints | Wildlife | Pristine
Serbia,,Stara Planina,Remote eastern mountains,Midžor (2169m) | Bulgarian border | Wild | Remote
Serbia,,Đerdap (Iron Gates),Danube gorge with fortress,Golubac Fortress | Lepenski Vir | Archaeological | River
Serbia,,Fruška Gora,Monasteries and wine region,Danube views | Wine | Monasteries | Gentle
Slovakia,,High Tatras (Vysoké Tatry),Carpathians highest peaks,Gerlachovský štít (2655m) | Alpine | Huts | Challenging
Slovakia,,Lomnický štít,Cable car access to views,Observatory | Panoramic | Accessible | Popular
Slovakia,,Rysy,Accessible highest peak,Slovakia-Poland border | Summit | Popular | Views
Slovakia,,Low Tatras (Nízke Tatry),Gentler than High Tatras,Chopok | Ďumbier (2043m) | Ski resorts | Accessible
Slovakia,,Slovak Paradise (Slovenský raj),Gorges with ladders and chains,Suchá Belá canyon | Via ferrata style | Adventure | Technical
Slovakia,,Malá Fatra,Traditional shepherd culture,Veľký Rozsutec | Jánošíkove diery | Folklore | Cultural
Slovakia,,Pieniny,Dunajec gorge shared with Poland,Tri koruny | Rafting | Cross-border | Scenic
Slovakia,,Slovenské Rudohorie,Ore Mountains with mining heritage,Mining heritage | Diverse | Historical | Gentle
Slovenia,,Triglav National Park,Slovenia's only national park,Mount Triglav (2864m) | National symbol | Vrata Valley | Alpine
Slovenia,,Seven Lakes Valley,Pristine glacial lakes circuit,Alpine flowers | Hut-to-hut | Peaceful | Beautiful
Slovenia,,Krma Valley,Less crowded Triglav approach,Traditional pastures | Peaceful | Authentic | Alpine
Slovenia,,Lake Bled,Fairy-tale lake with island church,Bled Castle | Vintgar Gorge | Ojstrica | Iconic
Slovenia,,Lake Bohinj,Larger quieter lake,Savica Waterfall | Vogel cable car | Tranquil | Swimming
Slovenia,,Kranjska Gora,Planica ski jumps valley,Vršič Pass (50 hairpins) | Russian Chapel | Ski resort | Alpine
Slovenia,,Soča Valley,Emerald river paradise,Boka (144m) | Kozjak falls | WWI history | Turquoise
Slovenia,,Kamnik-Savinja Alps,Logarska Dolina glacial valley,Rinka Waterfall | Ojstrica viewpoint | Glacial valley | Beautiful
Slovenia,,Velika Planina,Traditional shepherd settlement,Wooden huts | Plateau | Cheese | Summer pastures | Unique
Slovenia,,Škocjan Caves Region,UNESCO caves with surface trails,Karst landscape | Underground | UNESCO | Unique
Slovenia,,Alpe Adria Trail,750km Austria to Adriatic,Multi-country | Multi-day | Cultural | Long-distance
Spain,Pyrenees,Ordesa y Monte Perdido National Park,Spanish Pyrenees gem,Ordesa Canyon | Monte Perdido (3355m) | Cola de Caballo | UNESCO
Spain,Pyrenees,Añisclo Escuaín & Pineta Canyons,Dramatic gorges and cirques,Ibex habitat | Glacial cirques | Canyons | Wild
Spain,Pyrenees,Aigüestortes i Estany de Sant Maurici,200+ lakes in Catalan Pyrenees,Twisted Waters | Els Encantats | Carros de Foc | Alpine
Spain,Pyrenees,Pic de Ratera Circuit,Lake views circuit,Carros de Foc 7-day | Huts | Circuit | Alpine
Spain,Pyrenees,Vall d'Aran,Northern valley with different climate,Aneto approach (3404m) | Microclimate | Catalan | Highest Pyrenees
Spain,Pyrenees,GR11,820km coast-to-coast Spanish Pyrenees,Atlantic to Mediterranean | Spanish side | Multi-week | Epic
Spain,Picos de Europa,Cares Gorge (Garganta del Cares),Divine Gorge through dramatic cliffs,12km | 1000m cliffs | Asturias-León | Iconic
Spain,Picos de Europa,Naranjo de Bulnes (Picu Urriellu),Iconic limestone monolith,2519m | Climbing mecca | Views | Challenge
Spain,Picos de Europa,Lagos de Covadonga,Glacial lakes pilgrimage site,Enol & Ercina | Pilgrimage | Pastoral | Accessible
Spain,Picos de Europa,Fuente Dé Cable Car,Rapid access to high peaks,Torre Blanca | Cable car | Quick altitude | Views
Spain,Picos de Europa,Three Massifs,Western Central and Eastern sections,Cornión | Urrieles | Ándara | Diverse
Spain,Picos de Europa,Bulnes Village,Remote village with funicular,Funicular | Traditional | Remote | Authentic
Spain,Sierra Nevada,Mulhacén,Mainland Spain's highest,3482m | Non-technical summer | Andalusia | Summit
Spain,Sierra Nevada,Veleta,Second highest in range,3398m | Road partway | Ski resort | Views
Spain,Sierra Nevada,Alpujarras,White villages on southern slopes,Terraced farms | Traditional | Culture | Villages
Spain,Sierra Nevada,High Route Traverse,Multi-day high mountain circuit,Circuit | Multi-day | Alpine | Challenging
Spain,Camino de Santiago,Camino Francés,Most popular pilgrimage route,780km | Pyrenees | Santiago | Traditional
Spain,Camino de Santiago,Camino del Norte,Northern coastal route,Basque Country to Galicia | Less crowded | Coastal | Beautiful
Spain,Camino de Santiago,Camino Primitivo,Original route from Oviedo,Mountainous | Challenging | Original | Historic
Spain,Camino de Santiago,Camino Portugués,From Porto to Santiago,Gentler | Portugal | Coastal | Popular
Spain,Camino de Santiago,Via de la Plata,Seville to Santiago longest route,Longest | South to north | Historic | Cultural
Spain,Other Regions,Sierra de Guadarrama,Madrid's mountain escape,Peñalara (2428m) | Ski resorts | Accessible | Day trips
Spain,Other Regions,Sierra de Gredos,Central Spain mountain range,Almanzor (2592m) | Mountain goat | Central | Wild
Spain,Other Regions,Montserrat,Serrated mountain near Barcelona,Monastery | Rock climbing | Unique geology | Accessible
Spain,Canary Islands,Teide National Park - Tenerife,Spain's highest point,Mount Teide (3718m) | Volcanic | Lunar landscapes | UNESCO
Spain,Canary Islands,La Palma,Volcanic trails and dark skies,Roque de los Muchachos | Caldera | Volcanic | Stargazing
Spain,Canary Islands,El Hierro,Small Canary island,Volcanic hiking | Marine reserve | Remote | Pristine
Spain,Other Regions,Picos de Urbión,Source of Duero River,Black Lagoon | Soria | Source | Remote
Spain,Other Regions,Grazalema Natural Park,Spain's wettest place,White villages | Pinsapo firs | Andalusia | Green
Sweden,,Kungsleden (King's Trail),Sweden's most famous trail,450km | Abisko to Hemavan | Lapland | Arctic | Classic
Sweden,,Abisko National Park,Northern lights and midnight sun,Lapporten | Kebnekaise access | Gateway | Iconic
Sweden,,Kebnekaise,Sweden's highest mountain,2097m | Western non-technical | Eastern glacier | Summit
Sweden,,Sarek National Park,True wilderness with no trails,No paths | No huts | Experts only | Wild | Remote
Sweden,,Vindelfjällen Nature Reserve,Reindeer territory,Drottningleden trail | Less visited | Remote | Authentic
Sweden,,Padjelantaleden,140km wilderness trail,Remote Lapland | Multi-day | Wilderness | Challenging
Sweden,,Höga Kusten (High Coast),UNESCO World Heritage coast,Post-glacial uplift | Coastal cliffs | UNESCO | Unique
Sweden,,Sörmlandsleden,1000km trail system near Stockholm,Stockholm proximity | Accessible | Multi-day | Forest
Sweden,,Fulufjället National Park,Sweden's highest waterfall,Njupeskär | Old Tjikko tree | Waterfall | Ancient
Sweden,,Grövelsjön,Mountain station gateway,Norwegian border | Gateway | Traditional | Accessible
Switzerland,Bernese Oberland,Jungfrau Region,Eiger Mönch Jungfrau trilogy,Top of Europe railway | Iconic | Lauterbrunnen | Classic
Switzerland,Bernese Oberland,Lauterbrunnen Valley,72 waterfalls in U-shaped valley,Trümmelbach Falls | Car-free villages | Glacial | Iconic
Switzerland,Bernese Oberland,Mürren to Grütschalp,Car-free village with Bond location,Schilthorn (Piz Gloria) | Cliff-edge | James Bond | Views
Switzerland,Bernese Oberland,Panorama Trail,Männlichen to Kleine Scheidegg,North Face views | Classic | Popular | Accessible
Switzerland,Bernese Oberland,Schynige Platte,Alpine botanical garden,Panoramic | Cog railway | Botanical | Historic
Switzerland,Bernese Oberland,Wengen,Car-free resort village,Jungfrau Marathon | Traditional | Car-free | Charming
Switzerland,Bernese Oberland,First Cliff Walk,Suspension bridge with cliff views,Grindelwald | Bridge | Dramatic | Popular
Switzerland,Valais (Wallis),Zermatt & Matterhorn,Iconic pyramid peak,Matterhorn (4478m) | Car-free | Monte Rosa | Iconic
Switzerland,Valais (Wallis),Gornergrat Railway,Europe's highest open-air railway,360° panoramas | Railway | Views | Accessible
Switzerland,Valais (Wallis),Five Lakes Walk,Matterhorn reflection lakes,Photo spots | Circuit | Accessible | Classic
Switzerland,Valais (Wallis),Haute Route,Chamonix to Zermatt classic,High-level | Glacier | Hut-to-hut | Iconic | Multi-day
Switzerland,Valais (Wallis),Saas-Fee,Pearl of the Alps,Glaciers | Allalinhorn (4027m easiest 4000er) | Car-free | Alpine
Switzerland,Valais (Wallis),Aletsch Glacier,Largest glacier in Alps,23km | UNESCO | Views | Glacial
Switzerland,Valais (Wallis),Lötschental,Unspoiled valley,Via ferrata | Traditional villages | Remote | Authentic
Switzerland,Graubünden (Grisons),Swiss National Park,Switzerland's only national park,Ibex | Golden eagles | Pristine | Protected
Switzerland,Graubünden (Grisons),Engadine Valley,St. Moritz luxury region,Bernina Range | Piz Bernina (4049m) | Elegant | Lakes
Switzerland,Graubünden (Grisons),Via Alpina,390km across Switzerland,14 passes | Multi-day | Alpine | Epic
Switzerland,Graubünden (Grisons),Corviglia,Above St. Moritz,Summer hiking | Winter skiing | Views | Resort
Switzerland,Central Switzerland,Pilatus,Dragon legends mountain,Steepest cogwheel | Lucerne views | Legends | Accessible
Switzerland,Central Switzerland,Rigi,Queen of the Mountains,Lake Lucerne | Sunrise viewpoint | Classic | Historic
Switzerland,Central Switzerland,Titlis,Rotating cable car access,Glacier cave | Suspension bridge | Year-round | Popular
Switzerland,Appenzell,Alpstein Massif,Cliffside restaurant hiking,Ebenalp | Aescher hut | Seealpsee | Unique
Switzerland,Appenzell,Säntis,Highest in region with six-country views,2502m | Weather station | Views | Accessible
Switzerland,Appenzell,Hoher Kasten,Revolving restaurant,Austria border | Restaurant | Views | Unique
Switzerland,Ticino,Italian-speaking Switzerland,Mediterranean climate with palm trees,Verzasca Valley | Emerald pools | Palm trees | Southern
Switzerland,Ticino,Monte Tamaro to Monte Lema,Classic ridge traverse,Lake Maggiore views | Ridge | Panoramic | Classic
Switzerland,Ticino,Cardada-Cimetta,Above Locarno,Views | Cable car | Mediterranean | Southern
Switzerland,Other Regions,Creux du Van,Rocky cirque - Swiss Grand Canyon,Jura | Cirque | Unique | Dramatic
Switzerland,Other Regions,Lac de Joux,Jura region with watchmaking,Cross-country | Watchmaking heritage | Lakes | Cultural
Switzerland,Other Regions,Monte San Salvatore,Above Lugano,Funicular | Lake Lugano views | Southern | Accessible
Turkey,,Lycian Way,540km Mediterranean coast with ruins,Ancient ruins | Turquoise coast | Multi-week | Historical
Turkey,,Kaçkar Mountains,Black Sea alpine region,Alpine terrain | Glacial lakes | Traditional villages | Remote
United Kingdom,England,Lake District,Wordsworth's romantic lakes and fells,Scafell Pike (978m) | Helvellyn | Borrowdale | Literary
United Kingdom,England,Peak District,Climbing and moorland paradise,Kinder Scout | Stanage Edge | Gritstone | Accessible
United Kingdom,England,Yorkshire Dales,Three Peaks and limestone landscape,Pen-y-ghent | Whernside | Ingleborough | Malham Cove
United Kingdom,England,Cotswolds,Gentle honey-stone villages,Rolling hills | Cotswold Way (164km) | Villages | Charming
United Kingdom,England,Cornwall Coast Path,Dramatic Atlantic cliffs and beaches,Mining heritage | Land's End | Beaches | Coastal
United Kingdom,England,Dartmoor,Moorland wilderness,Granite tors | Wild ponies | Archaeology | Remote
United Kingdom,England,South Downs,Chalk hills with Seven Sisters cliffs,South Downs Way | Coastal | Chalk | Accessible
United Kingdom,England,North York Moors,Heather moorland with abbeys,Historic abbeys | Cleveland Way | Purple heather | Rural
United Kingdom,Scotland,Scottish Highlands,Ben Nevis and dramatic glens,Ben Nevis (1345m UK highest) | Glen Coe | Fort William | Munros
United Kingdom,Scotland,Cairngorms National Park,Plateau hiking with wildlife,CairnGorm | Ptarmigan | Red deer | Osprey | Plateau
United Kingdom,Scotland,Isle of Skye,Dramatic island landscapes,Quiraing | Old Man of Storr | Fairy Pools | Cuillin | Iconic
United Kingdom,Scotland,West Highland Way,Scotland's classic long trail,154km | Glasgow to Fort William | Classic | Popular
United Kingdom,Scotland,Torridon,Remote dramatic red sandstone peaks,Liathach | Beinn Eighe | Red deer | Wild | Remote
United Kingdom,Scotland,Assynt,Isolated mountain wilderness,Suilven | Stac Pollaidh | Unique peaks | Remote | Geological
United Kingdom,Scotland,Arran,Scotland in miniature,Goat Fell | Coastal and mountain | Island | Diverse
United Kingdom,Scotland,Loch Lomond & Trossachs,Rob Roy country,Ben Lomond | Rob Roy | Accessible | National Park
United Kingdom,Scotland,Glencoe,Three Sisters with dark history,Aonach Eagach ridge | Buachaille Etive Mòr | History | Dramatic
United Kingdom,Scotland,Ben Nevis Range,UK's highest mountain region,CMD Arête | Grey Corries | Mamores | Mountaineering
United Kingdom,Scotland,Great Glen Way,127km canal towpath,Fort William to Inverness | Canal | Gentle | Historic
United Kingdom,Wales,Snowdonia,Wales's highest peaks,Snowdon/Yr Wyddfa (1085m) | Six routes | Railway | National Park
United Kingdom,Wales,Tryfan,Scrambling classic,Adam and Eve stones | Scrambling | Challenging | Iconic
United Kingdom,Wales,Cadair Idris,Chair of Idris with legends,Legend | Poet or madman | Mountain | Mythology
United Kingdom,Wales,Brecon Beacons,South Wales peaks,Pen y Fan (886m) | Waterfall Country | Accessible | National Park
United Kingdom,Wales,Waterfall Country,Walk behind waterfalls,Sgwd yr Eira | Four Waterfalls Walk | Unique | Beautiful
United Kingdom,Wales,Pembrokeshire Coast Path,299km dramatic coastal scenery,Seals | Puffins | Beaches | Cliffs | Coastal
United Kingdom,Wales,Black Mountains,Hay Bluff and book town,Gospel Pass | Hay-on-Wye | Literary | Ridges
United Kingdom,Wales,Cambrian Mountains,Remote uplands,Plynlimon | Source of Severn/Wye | Wild | Remote
United Kingdom,Wales,Gower Peninsula,First UK Area of Outstanding Beauty,Coastal walks | Beaches | AONB | Beautiful
United Kingdom,Northern Ireland,Mourne Mountains,CS Lewis inspiration,Slieve Donard (850m NI highest) | Mourne Wall | Granite | Literary
United Kingdom,Northern Ireland,Giant's Causeway,40000 basalt columns UNESCO,Coastal trails | Game of Thrones | Geological | Iconic
United Kingdom,Northern Ireland,Causeway Coast Way,53km coastal trail,Dramatic cliffs | Rope bridge | Coastal | Beautiful